Subject F04, Block B2: 

Utterance 	 Begin 	 End 
--------- 	 ----- 	 --- 
F04_B2_D3  	 1586 	 1656
F04_B2_D9  	 1656 	 1741
F04_B2_D0  	 1741 	 1814
F04_B2_D6  	 1814 	 1877
F04_B2_D7  	 1877 	 1942
F04_B2_D8  	 1942 	 2000
F04_B2_D4  	 2000 	 2063
F04_B2_D5  	 2063 	 2125
F04_B2_D1  	 2125 	 2186
F04_B2_D2  	 2186 	 2243
F04_B2_LE  	 2338 	 2409
F04_B2_LD  	 2409 	 2478
F04_B2_LW  	 2478 	 2544
F04_B2_LK  	 2544 	 2614
F04_B2_LS  	 2614 	 2684
F04_B2_LT  	 2684 	 2757
F04_B2_LU  	 2757 	 2830
F04_B2_LX  	 2830 	 2903
F04_B2_LJ  	 2903 	 2988
F04_B2_LC  	 2988 	 3057
F04_B2_LQ  	 3057 	 3147
F04_B2_LP  	 3147 	 3220
F04_B2_LZ  	 3220 	 3291
F04_B2_LR  	 3291 	 3466
F04_B2_LF  	 3466 	 3551
F04_B2_LI  	 3551 	 3631
F04_B2_LL  	 3631 	 3717
F04_B2_LV  	 3717 	 3790
F04_B2_LY  	 3790 	 3876
F04_B2_LG  	 3876 	 3947
F04_B2_LH  	 3947 	 4024
F04_B2_LN  	 4024 	 4111
F04_B2_LB  	 4111 	 4190
F04_B2_LO  	 4190 	 4268
F04_B2_LA  	 4268 	 4362
F04_B2_LM  	 4362 	 4440
F04_B2_C1  	 4531 	 4660
F04_B2_C2  	 4660 	 4727
F04_B2_C3  	 4727 	 4817
F04_B2_C4  	 4817 	 4879
F04_B2_C5  	 4879 	 4959
F04_B2_C6  	 4959 	 5032
F04_B2_C7  	 5032 	 5097
F04_B2_C8  	 5097 	 5167
F04_B2_C9  	 5167 	 5236
F04_B2_C10  	 5236 	 5307
F04_B2_C11  	 5307 	 5387
F04_B2_C12  	 5387 	 5458
F04_B2_C13  	 5458 	 5524
F04_B2_C14  	 5524 	 5586
F04_B2_C15  	 5586 	 5676
F04_B2_C16  	 5676 	 5748
F04_B2_C17  	 5748 	 5822
F04_B2_C18  	 5822 	 5889
F04_B2_C19  	 5889 	 5951
F04_B2_CW1  	 6086 	 6158
F04_B2_CW2  	 6158 	 6211
F04_B2_CW3  	 6211 	 6269
F04_B2_CW4  	 6269 	 6332
F04_B2_CW5  	 6332 	 6394
F04_B2_CW6  	 6394 	 6454
F04_B2_CW7  	 6454 	 6537
F04_B2_CW8  	 6537 	 6623
F04_B2_CW9  	 6623 	 6689
F04_B2_CW10  	 6689 	 6808
F04_B2_CW11  	 6808 	 6885
F04_B2_CW12  	 6885 	 6951
F04_B2_CW13  	 6951 	 7026
F04_B2_CW14  	 7026 	 7100
F04_B2_CW15  	 7100 	 7167
F04_B2_CW16  	 7167 	 7232
F04_B2_CW17  	 7232 	 7310
F04_B2_CW18  	 7310 	 7407
F04_B2_CW19  	 7407 	 7478
F04_B2_CW20  	 7478 	 7560
F04_B2_CW21  	 7560 	 7647
F04_B2_CW22  	 7647 	 7721
F04_B2_CW23  	 7721 	 7796
F04_B2_CW24  	 7796 	 7884
F04_B2_CW25  	 7884 	 7976
F04_B2_CW26  	 7976 	 8039
F04_B2_CW27  	 8039 	 8103
F04_B2_CW28  	 8103 	 8185
F04_B2_CW29  	 8185 	 8260
F04_B2_CW30  	 8260 	 8380
F04_B2_CW31  	 8380 	 8453
F04_B2_CW32  	 8453 	 8526
F04_B2_CW33  	 8526 	 8617
F04_B2_CW34  	 8617 	 8695
F04_B2_CW35  	 8695 	 8764
F04_B2_CW36  	 8764 	 8832
F04_B2_CW37  	 8832 	 8913
F04_B2_CW38  	 8913 	 8994
F04_B2_CW39  	 8994 	 9072
F04_B2_CW40  	 9072 	 9138
F04_B2_CW41  	 9138 	 9206
F04_B2_CW42  	 9206 	 9283
F04_B2_CW43  	 9283 	 9365
F04_B2_CW44  	 9365 	 9468
F04_B2_CW45  	 9468 	 9530
F04_B2_CW46  	 9530 	 9604
F04_B2_CW47  	 9604 	 9671
F04_B2_CW48  	 9671 	 9737
F04_B2_CW49  	 9737 	 9801
F04_B2_CW50  	 9801 	 9865
F04_B2_CW51  	 9865 	 9927
F04_B2_CW52  	 9927 	 9992
F04_B2_CW53  	 9992 	 10057
F04_B2_CW54  	 10057 	 10130
F04_B2_CW55  	 10130 	 10220
F04_B2_CW56  	 10220 	 10346
F04_B2_CW57  	 10346 	 10411
F04_B2_CW58  	 10411 	 10477
F04_B2_CW59  	 10477 	 10569
F04_B2_CW60  	 10569 	 10634
F04_B2_CW61  	 10634 	 10702
F04_B2_CW62  	 10702 	 10768
F04_B2_CW63  	 10768 	 10837
F04_B2_CW64  	 10837 	 10910
F04_B2_CW65  	 10910 	 10981
F04_B2_CW66  	 10981 	 11052
F04_B2_CW67  	 11052 	 11118
F04_B2_CW68  	 11118 	 11290
F04_B2_CW69  	 11290 	 11354
F04_B2_CW70  	 11354 	 11420
F04_B2_CW71  	 11420 	 11489
F04_B2_CW72  	 11489 	 11554
F04_B2_CW73  	 11554 	 11633
F04_B2_CW74  	 11633 	 11711
F04_B2_CW75  	 11711 	 11780
F04_B2_CW76  	 11780 	 11854
F04_B2_CW77  	 11854 	 11946
F04_B2_CW78  	 11946 	 12019
F04_B2_CW79  	 12019 	 12100
F04_B2_CW80  	 12100 	 12174
F04_B2_CW81  	 12174 	 12259
F04_B2_CW82  	 12259 	 12338
F04_B2_CW83  	 12338 	 12431
F04_B2_CW84  	 12431 	 12500
F04_B2_CW85  	 12500 	 12594
F04_B2_CW86  	 12594 	 12667
F04_B2_CW87  	 12667 	 12743
F04_B2_CW88  	 12743 	 12823
F04_B2_CW89  	 12823 	 12892
F04_B2_CW90  	 12892 	 13017
F04_B2_CW91  	 13017 	 13093
F04_B2_CW92  	 13093 	 13165
F04_B2_CW93  	 13165 	 13240
F04_B2_CW94  	 13240 	 13324
F04_B2_CW95  	 13324 	 13436
F04_B2_CW96  	 13436 	 13518
F04_B2_CW97  	 13518 	 13608
F04_B2_CW98  	 13608 	 13672
F04_B2_CW99  	 13672 	 13748
F04_B2_CW100  	 13748 	 13808
F04_B2_UW1  	 16731 	 16820
F04_B2_UW2  	 16820 	 16898
F04_B2_UW3  	 17252 	 17350
F04_B2_UW4  	 17350 	 17462
F04_B2_UW5  	 17462 	 17548
F04_B2_UW6  	 17548 	 17623
F04_B2_UW7  	 17623 	 17713
F04_B2_UW8  	 18395 	 18478
F04_B2_UW9  	 18478 	 18561
F04_B2_UW10  	 18561 	 18638
F04_B2_UW11  	 18638 	 18713
F04_B2_UW12  	 18713 	 18800
F04_B2_UW13  	 18800 	 18883
F04_B2_UW14  	 18883 	 19005
F04_B2_UW15  	 19005 	 19102
F04_B2_UW16  	 19102 	 19259
F04_B2_UW17  	 19259 	 19354
F04_B2_UW18  	 19354 	 19445
F04_B2_UW19  	 20653 	 20748
F04_B2_UW20  	 20748 	 20869
F04_B2_UW21  	 20869 	 21028
F04_B2_UW22  	 21028 	 21157
F04_B2_UW23  	 21157 	 21267
F04_B2_UW24  	 21267 	 21353
F04_B2_UW25  	 21353 	 21433
F04_B2_UW26  	 21433 	 21514
F04_B2_UW27  	 21514 	 21629
F04_B2_UW28  	 21629 	 21732
F04_B2_UW29  	 21732 	 21811
F04_B2_UW30  	 22160 	 22286
F04_B2_UW31  	 22286 	 22382
F04_B2_UW32  	 22382 	 22488
F04_B2_UW33  	 22488 	 22560
F04_B2_UW34  	 22560 	 22665
F04_B2_UW35  	 23499 	 23591
F04_B2_UW36  	 24005 	 24087
F04_B2_UW37  	 24087 	 24185
F04_B2_UW38  	 24185 	 24290
F04_B2_UW39  	 24656 	 24741
F04_B2_UW40  	 24741 	 24832
F04_B2_UW41  	 24832 	 24929
F04_B2_UW42  	 24929 	 25015
F04_B2_UW43  	 25015 	 25094
F04_B2_UW44  	 25094 	 25167
F04_B2_UW45  	 25544 	 25639
F04_B2_UW46  	 25639 	 25734
F04_B2_UW47  	 25734 	 25854
F04_B2_UW48  	 25854 	 25971
F04_B2_UW49  	 25971 	 26071
F04_B2_UW50  	 26421 	 26508
F04_B2_UW51  	 26508 	 26592
F04_B2_UW52  	 26592 	 26676
F04_B2_UW53  	 26676 	 26749
F04_B2_UW54  	 26749 	 26896
F04_B2_UW55  	 26896 	 26980
F04_B2_UW56  	 26980 	 27063
F04_B2_UW57  	 27373 	 27466
F04_B2_UW58  	 27466 	 27559
F04_B2_UW59  	 27559 	 27640
F04_B2_UW60  	 27640 	 27721
F04_B2_UW61  	 27721 	 27823
F04_B2_UW62  	 27823 	 27936
F04_B2_UW63  	 27936 	 28037
F04_B2_UW64  	 28297 	 28378
F04_B2_UW65  	 28378 	 28476
F04_B2_UW66  	 28476 	 28554
F04_B2_UW67  	 28554 	 28643
F04_B2_UW68  	 28643 	 28727
F04_B2_UW69  	 28727 	 28809
F04_B2_UW70  	 28809 	 28917
F04_B2_UW71  	 28917 	 28994
F04_B2_UW72  	 29401 	 29485
F04_B2_UW73  	 29485 	 29656
F04_B2_UW74  	 29656 	 29736
F04_B2_UW75  	 29736 	 29818
F04_B2_UW76  	 29818 	 30377
F04_B2_UW77  	 30864 	 30946
F04_B2_UW78  	 30946 	 31046
F04_B2_UW79  	 31046 	 31125
F04_B2_UW80  	 31125 	 31287
F04_B2_UW81  	 31287 	 31549
F04_B2_UW82  	 31549 	 31619
F04_B2_UW83  	 31619 	 31696
F04_B2_UW84  	 31696 	 31785
F04_B2_UW85  	 31785 	 31868
F04_B2_UW86  	 31868 	 31946
F04_B2_UW87  	 31946 	 32041
F04_B2_UW88  	 32041 	 32115
F04_B2_UW89  	 32115 	 32194
F04_B2_UW90  	 32194 	 32280
F04_B2_UW91  	 32280 	 32362
F04_B2_UW92  	 32362 	 32442
F04_B2_UW93  	 32442 	 32530
F04_B2_UW94  	 32530 	 32616
F04_B2_UW95  	 32616 	 32693
F04_B2_UW96  	 32693 	 32773
F04_B2_UW97  	 32773 	 32846
F04_B2_UW98  	 32846 	 32916
F04_B2_UW99  	 32916 	 32990
F04_B2_UW100  	 32990 	 33042
