Subject M12, Block B2: 

Utterance 	 Begin 	 End 
--------- 	 ----- 	 --- 
M12_B2_D3  	 39 	 122
M12_B2_D9  	 122 	 211
M12_B2_D0  	 211 	 337
M12_B2_D6  	 337 	 432
M12_B2_D7  	 432 	 563
M12_B2_D8  	 563 	 677
M12_B2_D4  	 677 	 762
M12_B2_D5  	 762 	 865
M12_B2_D1  	 865 	 948
M12_B2_D2  	 948 	 1055
M12_B2_LE  	 1221 	 1343
M12_B2_LD  	 1343 	 1460
M12_B2_LW  	 1460 	 1582
M12_B2_LK  	 1582 	 1709
M12_B2_LS  	 1709 	 1858
M12_B2_LT  	 1858 	 1985
M12_B2_LU  	 1985 	 2121
M12_B2_LX  	 2121 	 2265
M12_B2_LJ  	 2265 	 2404
M12_B2_LC  	 2404 	 2528
M12_B2_LQ  	 2528 	 2645
M12_B2_LP  	 2645 	 2751
M12_B2_LZ  	 2751 	 2857
M12_B2_LR  	 2857 	 2996
M12_B2_LF  	 2996 	 3167
M12_B2_LI  	 3167 	 3275
M12_B2_LL  	 3275 	 3398
M12_B2_LV  	 3398 	 3523
M12_B2_LY  	 3523 	 3667
M12_B2_LG  	 3667 	 3791
M12_B2_LH  	 3791 	 3900
M12_B2_LN  	 3900 	 4032
M12_B2_LB  	 4032 	 4141
M12_B2_LO  	 4141 	 4251
M12_B2_LA  	 4251 	 4358
M12_B2_LM  	 4358 	 4447
M12_B2_C1  	 4615 	 4730
M12_B2_C2  	 4730 	 4839
M12_B2_C3  	 4839 	 4967
M12_B2_C4  	 4967 	 5081
M12_B2_C5  	 5081 	 5183
M12_B2_C6  	 5183 	 5309
M12_B2_C7  	 5309 	 5417
M12_B2_C8  	 5417 	 5537
M12_B2_C9  	 5537 	 5647
M12_B2_C10  	 5647 	 5737
M12_B2_C11  	 5737 	 5879
M12_B2_C12  	 5879 	 6002
M12_B2_C13  	 6002 	 6117
M12_B2_C14  	 6117 	 6207
M12_B2_C15  	 6207 	 6317
M12_B2_C16  	 6317 	 6448
M12_B2_C17  	 6448 	 6569
M12_B2_C18  	 6569 	 6680
M12_B2_C19  	 6680 	 6781
M12_B2_CW1  	 6876 	 6971
M12_B2_CW2  	 6971 	 7061
M12_B2_CW3  	 7061 	 7170
M12_B2_CW4  	 7170 	 7280
M12_B2_CW5  	 7280 	 7371
M12_B2_CW6  	 7371 	 7475
M12_B2_CW7  	 7475 	 7572
M12_B2_CW8  	 7572 	 7682
M12_B2_CW9  	 7682 	 7781
M12_B2_CW10  	 7781 	 7896
M12_B2_CW11  	 7896 	 8004
M12_B2_CW12  	 8004 	 8122
M12_B2_CW13  	 8122 	 8223
M12_B2_CW14  	 8223 	 8329
M12_B2_CW15  	 8329 	 8440
M12_B2_CW16  	 8440 	 8553
M12_B2_CW17  	 8553 	 8730
M12_B2_CW18  	 8730 	 8860
M12_B2_CW19  	 8860 	 8969
M12_B2_CW20  	 8969 	 9089
M12_B2_CW21  	 9089 	 9204
M12_B2_CW22  	 9204 	 9314
M12_B2_CW23  	 9314 	 9425
M12_B2_CW24  	 9425 	 9527
M12_B2_CW25  	 9527 	 9641
M12_B2_CW26  	 9641 	 9742
M12_B2_CW27  	 9742 	 9863
M12_B2_CW28  	 9863 	 9968
M12_B2_CW29  	 9968 	 10080
M12_B2_CW30  	 10080 	 10189
M12_B2_CW31  	 10189 	 10307
M12_B2_CW32  	 10307 	 10408
M12_B2_CW33  	 10408 	 10533
M12_B2_CW34  	 10533 	 10661
M12_B2_CW35  	 10661 	 10782
M12_B2_CW36  	 10782 	 10891
M12_B2_CW37  	 10891 	 11009
M12_B2_CW38  	 11009 	 11176
M12_B2_CW39  	 11176 	 11283
M12_B2_CW40  	 11283 	 11398
M12_B2_CW41  	 11398 	 11509
M12_B2_CW42  	 11509 	 11603
M12_B2_CW43  	 11603 	 11707
M12_B2_CW44  	 11707 	 11816
M12_B2_CW45  	 11816 	 11929
