Three   D3
Nine    D9
Zero    D0
Six D6
Seven   D7
Eight   D8
Four    D4
Five    D5
One D1
Two D2
Echo    LE
Delta   LD
Whiskey LW
Kilo    LK
Sierra  LS
Tango   LT
Uniform LU
X-ray   LX
Juliet  LJ
Charlie LC
Quebec  LQ COOL MATH
Papa    LP
Zulu    LZ
Romeo   LR
Foxtrot LF
India   LI
Lima    LL
Victor  LV
Yankee  LY
Golf    LG
Hotel   LH OH GIRL
November    LN
Bravo   LB
Oscar   LO
Alpha   LA
Mike    LM
Command C1
Backspace   C2 WORK WORK
Delete  C3 
Enter   C4
Tab C5
Escape  C6
Alt C7
Control C8
Shift   C9
Line    C10
Paragraph   C11
Sentence    C12
Paste   C13
Cut C14
Copy    C15 OPEN
Upward  C16 COLD WAR
Downward    C17 WARM
Left    C18 
Right   C19 
the CW1
of  CW2
and CW3
a   CW4
to  CW5
in  CW6
is  CW7
you CW8
that    CW9
it  CW10
he  CW11
was CW12
for CW13
on  CW14
are CW15
as  CW16
with    CW17 WOODS
his CW18
they    CW19 
I   CW20
at  CW21
be  CW22
this    CW23
have    CW24
from    CW25
or  CW26
had CW27
by  CW28
word    CW29
but CW30
not CW31
what    CW32
all CW33
were    CW34
we  CW35
when    CW36 WORMS
your    CW37
can CW38
said    CW39
there   CW40
use CW41
an  CW42
each    CW43
which   CW44
she CW45
do  CW46
how CW47
their   CW48
if  CW49
will    CW50
up  CW51
other   CW52
about   CW53
out CW54
many    CW55
then    CW56
them    CW57
these   CW58
so  CW59
some    CW60
her CW61
would   CW62
make    CW63
like    CW64
him CW65
into    CW66
time    CW67
has CW68
look    CW69
more    CW70
write   CW71
go  CW72
see CW73
number  CW74
no  CW75
way CW76
could   CW77
people  CW78
my  CW79
than    CW80
first   CW81
water   CW82
been    CW83
call    CW84 COOL
who CW85
oil CW86
its CW87
now CW88
find    CW89
long    CW90
down    CW91
day CW92
did CW93
get CW94
come    CW95
made    CW96
may CW97
part    CW98
oh  CW99
yes CW100
mouth   B2_UW1
needlepoint B2_UW2
Nuremberg   B2_UW3
pennyworth  B2_UW4
re-united   B2_UW5
roof    B2_UW6
schoolyard  B2_UW7
sharpshooter    B2_UW8
skyward B2_UW9
sugar   B2_UW10
supreme B2_UW11
toothache   B2_UW12
unusual B2_UW13
voyage  B2_UW14
abbreviated B2_UW15
ablutions   B2_UW16
absolve B2_UW17
absorb  B2_UW18
adhesion    B2_UW19
adjacent    B2_UW20
advantageous    B2_UW21
agricultural    B2_UW22
allure  B2_UW23
aloft   B2_UW24
aloof   B2_UW25
although    B2_UW26
anxieties   B2_UW27
anybody B2_UW28
anything    B2_UW29
apothecary  B2_UW30
appreciable B2_UW31
apprehend   B2_UW32
approach    B2_UW33
astounded   B2_UW34
atrocious   B2_UW35
authoritative   B2_UW36
aversion    B2_UW37
bachelor    B2_UW38
bathe   B2_UW39
baths   B2_UW40
battlefield B2_UW41
battlements B2_UW42
battleship  B2_UW43
beef    B2_UW44
beleaguering    B2_UW45
Bengal  B2_UW46
bequeath    B2_UW47
betook  B2_UW48
betroth B2_UW49
blithe  B2_UW50
bloodshed   B2_UW51
bluebells   B2_UW52 WORLD
booth   B2_UW53
bosom   B2_UW54
both    B2_UW55
bother  B2_UW56
boulevard   B2_UW57
boyhood B2_UW58
broil   B2_UW59
brotherhood B2_UW60 
buffoon B2_UW61
bulge   B2_UW62
bulrush B2_UW63
butcher B2_UW64
butterflies B2_UW65
candlelight B2_UW66
Catholic    B2_UW67
celebrity   B2_UW68
chide   B2_UW69
coherent    B2_UW70
coil    B2_UW71
convulsion  B2_UW72
cowhide B2_UW73
deluge  B2_UW74
digest  B2_UW75
displeasure B2_UW76
dispossess  B2_UW77
dowry   B2_UW78
durable B2_UW79
Emilio  B2_UW80
endowments  B2_UW81
watch   B2_UW82
plane   B2_UW83
swimming    B2_UW84
watches B2_UW85
lamp    B2_UW86
car B2_UW87
blue    B2_UW88
rabbit  B2_UW89
carrot  B2_UW90
orange  B2_UW91
fishing B2_UW92
chair   B2_UW93
feather B2_UW94
pencil  B2_UW95
bathtub B2_UW96
bath    B2_UW97
ring    B2_UW98
finger  B2_UW99
thumb   B2_UW100
